date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:20	29924/29924	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:12%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Bold.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Bold.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:26	45480/45480	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:18%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:28	101616/101616	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:06%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:28	15048/15048	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:28%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-LightItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-LightItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:31	31372/31372	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:32%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-LightItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-LightItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:36	40796/40796	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:04%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:38	257209/257209	---M--	200	added ('OK')	image/png	date:Thu,%2010%20May%202018%2013:19:46%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/img/initial-bg.png	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/img/initial-bg.png	(from http://zeus2k.pw/instagram/style.css)
22:17:38	88304/88304	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:04%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:41	15704/15704	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:20%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-SemiboldItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-SemiboldItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:43	45780/45780	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:28%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-BoldItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-BoldItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
